FIC_MIS_DATE,N_EOP_BAL,V_ACCOUNT_NUMBER,V_CCY_CODE,V_PROD_CODE
30/4/2025,22896412.88,2001805180-BANK-NA-NA-ZCMS01,USN,32530950-2455
30/4/2025,3808081.63,2001805290-BANK-NA-NA-ZCMT01,USN,32531050-2475
30/4/2025,3200151.71,2002818870-BANK-NA-NA-ZATM01,USN,44276200-3781
30/4/2025,20454.23,2001805310-BANK-NA-NA-ZCGW01,USN,32530800-2515
30/4/2025,9989.32,2001805320-BANK-NA-NA-ZCKW01,USN,32530850-2535
30/4/2025,292016.88,2001805300-BANK-NA-NA-ZCMN01,USN,32530900-2495
30/4/2025,311031.43,2001805330-BANK-NA-NA-ZCMA01,USN,32531000-2555
30/4/2025,-433.13,2001905010-BANK-NA-NA-ZPTC01,USN,38259200-2912
30/4/2025,100735.87,2002818460-BANK-NA-NA-ZCIT01,USN,41053520-3715
30/4/2025,4718087.15,2001803240-BANK-NA-NA-,USN,31941200-2448
30/4/2025,579494.22,2001803250-BANK-NA-NA-,USN,31941300-2449
30/4/2025,362923.48,2001809210-BANK-NA-NA-,USN,31941400-2438
30/4/2025,159349.21,2000500840-BANK-NA-NA-,USN,31941450-2432
30/4/2025,114.13,2001803270-BANK-NA-NA-,USN,31942320-2440
30/4/2025,134.30,2001803280-BANK-NA-NA-,USN,31942330-2441
30/4/2025,100.00,2001803290-BANK-NA-NA-,USN,31942350-2442
30/4/2025,2687680.99,2001803300-BANK-NA-NA-,USN,31946050-2447
30/4/2025,9976.55,2001803310-BANK-NA-NA-,USN,31946200-2444
30/4/2025,860981.80,2001803320-BANK-NA-NA-,USN,31946220-2445
30/4/2025,1708.73,2001803350-BANK-NA-NA-,USN,31990400-2185
30/4/2025,14809.30,2000500920-BANK-NA-NA-,USN,31990450-2198
30/4/2025,224739.35,2001803360-BANK-NA-NA-,USN,31990500-2180
30/4/2025,18090221.44,2001803370-BANK-NA-NA-,USN,31990620-2186
30/4/2025,4044.61,2001803380-BANK-NA-NA-,USN,31990625-2187
30/4/2025,80732.65,2001803390-BANK-NA-NA-,USN,31990630-2188
30/4/2025,33984.73,2001803420-BANK-NA-NA-,USN,31995000-2190
30/4/2025,5391.28,2001803430-BANK-NA-NA-,USN,31995500-2192
30/4/2025,2843.51,2001803440-BANK-NA-NA-,USN,31995600-2194
30/4/2025,2088371.79,2001803450-BANK-NA-NA-,USN,31995700-2193
30/4/2025,330846.74,2001803460-BANK-NA-NA-,USN,31996000-2210
30/4/2025,636371.80,2001803470-BANK-NA-NA-,USN,31996500-2220
30/4/2025,225572.97,2001803510-BANK-NA-NA-,USN,32048250-2189
30/4/2025,21517.88,2001803530-BANK-NA-NA-,USN,32049720-2195
30/4/2025,49820.00,2001810320-BANK-NA-NA-,USN,32053000-2340
30/4/2025,3564254.64,2001803580-BANK-NA-NA-,USN,32054800-2333
30/4/2025,1279690.62,2001803610-BANK-NA-NA-,USN,32055500-2352
30/4/2025,0.00,2001803620-BANK-NA-NA-,USN,32055710-2355
30/4/2025,72801.99,2001803630-BANK-NA-NA-,USN,32055750-2360
30/4/2025,510514.06,2001810060-BANK-NA-NA-,USN,32089700-2370
30/4/2025,747368.86,2001803690-BANK-NA-NA-,USN,32123200-2443
30/4/2025,15085.11,2001809240-BANK-NA-NA-,USN,32125000-3722
30/4/2025,10359.03,2001803710-BANK-NA-NA-,USN,32127500-2420
30/4/2025,-39686.74,2001803770-BANKCUST-NA-NA-,USN,1010101-A1
30/4/2025,2888.79,2000500890-BANK-NA-NA-,USN,1010101-A2
30/4/2025,-74.98,2001803770-BANKTRUST-NA-NA-,USN,1010101-A3
30/4/2025,58553964.62,2000202130-BANK-NA-NA-ZSTR03,USN,37944600-2873
30/4/2025,1631.98,2000202130-BANK-NA-NA-ZSTR01,USN,37944400-2871
30/4/2025,2528.98,2000202130-BANK-NA-NA-ZSTR02,USN,37944500-2872
30/4/2025,523361.14,2000202130-BANK-NA-NA-ZSTR04,USN,37944700-2874
30/4/2025,96642.31,3000807450-BANK-NA-NA-ZOSD01,USN,16308700-0255
30/4/2025,-95675.59,3000807200-BANK-NA-NA-ZSPC26,USN,18505380-0328
30/4/2025,335354.17,3000808330-BANK-NA-NA-ZSCR67,USN,18513380-0640
