v_common_coa_code,v_common_coa_name,v_common_coa_description,v_accrual_basis_code,v_account_type,fic_mis_date,v_rollup_signage_code,d_start_date,d_end_date
10033000,10033000 Share Capital,Capital,None,OTHERLIABS,30/4/2024,NULL,NULL,NULL
10035900,10035900 Share Capital,Capital,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
10036900,10036900 Share Premium,Capital,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
10287000,10287000 Deferred Interest on Non Performing Mortgage Loans,Deferred Interest on Non Performing Mortgage Loans,NULL,EARNINGASSETS,30/4/2024,NULL,NULL,NULL
10287500,10287500 Def Int-NPLsMortNostroFCA,Def Int-NPLsMortNostroFCA,NULL,EARNINGASSETS,30/4/2024,NULL,NULL,NULL
10289500,10289500 Equity Share Based Payments Reserve,Equity Share Based Payments Reserve,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
10289700,10289700 Foreign Currency Transl Res,Foreign Currency Transl Res,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
10292000,10292000 Non Distributable Reserves,Non distributable reserve,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
10448900,10448900 Retained Income,Retained Income,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
10616000,10616000 Revaluation - Reserves,Revaluation - Reserves,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
10623900,10623900 Revaluation Surplus - Fixed Assets,Revaluation Surplus - Fixed Assets,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
11805400,11805400 Agritrade Loan,Agritrade Loan,NULL,INTBEARINGLIABS,30/4/2024,NULL,NULL,NULL
11805550,11805550 Credit Lines - AFDB Loan,Credit Lines - AFDB Loan,NULL,INTBEARINGLIABS,30/4/2024,NULL,NULL,NULL
11805570,11805570 Credit Lines - Afreximbank,Credit Lines - Afreximbank,NULL,INTBEARINGLIABS,30/4/2024,NULL,NULL,NULL
11805600,11805600 Credit Lines - Propaco Loan,Credit Lines - Propaco Loan,NULL,INTBEARINGLIABS,30/4/2024,NULL,NULL,NULL
11805700,11805700 Credit Lines - PTA Loan,Credit Lines - PTA Loan,NULL,INTBEARINGLIABS,30/4/2024,NULL,NULL,NULL
11805750,11805750 Credit Lines-Shelter Afri Loan,Credit Lines - Shelter Afrique Loan,NULL,INTBEARINGLIABS,30/4/2024,NULL,NULL,NULL
11805780,11805780 Credit Lines - ZADT Loan,Credit Lines - ZADT Loan,NULL,INTBEARINGLIABS,30/4/2024,NULL,NULL,NULL
11806500,11806500 Nostro FCA - Offshore Loans,Nostro FCA - Offshore Loans,NULL,EARNINGASSETS,30/4/2024,NULL,NULL,NULL
14508000,14508000 Liabilities on Guarantees,Liabilities on Guarantees,NULL,OTHERASSET,30/4/2024,NULL,NULL,NULL
14509000,14509000 Liabilities on Letters of Credits,Liabilities on Letters of Credits,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
14757000,14757000 Government ATM Tax,Government ATM Tax,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
14757100,14757100 Government Tax,Government Tax,NULL,OTHERASSET,30/4/2024,NULL,NULL,NULL
14764000,14764000 Withholding Tax Liability,Withholding Tax Liability,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
14785000,14785000 W/holding Tax-Treasur Dep,W/holding Tax-Treasur Dep,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
15301500,15301500 Mortgage HOC Premium,Mortgage HOC Premium,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
15301600,15301600 Mortgage Life Premium,Mortgage Life Premium,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
15301700,15301700 Mortgage pension premium,Mortgage pension premium,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
15301821,15301821 Nostro Life Protect Susp Vehic,Nostro Life Protect Susp Vehic,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
16301000,16301000 Accrued Expenses,Accrued Expenses,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
16301500,16301500 Def ValfeesonMortNostFCA,Deferred Valuation fees on Mortgages Nostro FCA,NULL,OTHERLIABS,30/4/2024,NULL,NULL,NULL
